state	last_updated_ts
2.323	1773989157.9785407
2.026	1773990000.4283576
1.671	1773993600.4293659
1.617	1773997200.4284222
1.598	1774000800.428551
1.586	1774004400.4288883
1.479	1774008147.4852352
1.479	1774008874.3342402
1.479	1774009280.1686752
1.484	1774011600.4876037
1.62	1774023709.9164813
1.728	1774026000.4727058
1.728	1774029584.4044876
1.729	1774029600.1351686
1.671	1774033200.1351714
1.655	1774083566.9678197
1.593	1774083600.1516314
1.448	1774087200.1515374
1.443	1774090800.1508348
1.443	1774093440.4712565
1.403	1774094400.1481311
1.403	1774096014.3122165
1.372	1774098000.1530266
1.579	1774135063.8552694
1.562	1774135800.3040016
1.538	1774136700.3034515
1.511	1774137600.3037703
1.498	1774138500.3041246
1.505	1774139400.3027813
1.5	1774140300.3044727
1.472	1774141200.302807
1.461	1774142100.3028624
1.46	1774143000.304075
1.458	1774143900.3057866
1.512	1774144800.3026898
1.532	1774145700.3039644
1.52	1774146600.304152
1.535	1774147500.300606
1.597	1774148400.30167
1.598	1774149300.303194
1.598	1774150200.3049731
1.597	1774151100.301062
1.611	1774152000.303048
1.598	1774152900.3035433
1.595	1774153800.3046951
1.597	1774154700.3036273
1.644	1774155600.3021498
1.614	1774156500.3036485
1.598	1774157400.3015869
1.585	1774158300.3032591
1.6	1774159200.3039994
1.51	1774160100.3033721
1.428	1774161000.3043225
1.392	1774161900.3035688
1.418	1774162800.3036003
1.407	1774163700.3037775
1.394	1774164600.3031285
1.392	1774165500.3048844
1.413	1774166400.3030815
1.416	1774167300.3040338
1.424	1774168200.3031716
1.427	1774169100.3037205
1.446	1774170000.3052354
1.448	1774170900.3011894
1.448	1774171800.3027525
1.449	1774172700.3027282
1.446	1774173600.3033376
1.449	1774174500.3051088
1.451	1774175400.3038943
1.454	1774176300.3044865
1.455	1774177200.3037188
1.455	1774178100.3014956
1.456	1774179000.3040078
1.454	1774179900.3025017
1.502	1774180800.3035378
1.501	1774181700.30445
1.501	1774182075.192452
1.495	1774182600.3072355
1.462	1774183500.3060353
1.427	1774184400.3089337
1.417	1774185300.309254
1.413	1774186200.307352
1.414	1774187100.3079274
1.414	1774188000.3053432
1.415	1774188900.3080034
1.455	1774189800.3058105
1.513	1774190700.3086686
1.477	1774191600.3080096
1.632	1774192500.3062751
1.632	1774193400.3089004
1.656	1774194300.3075247
1.567	1774195200.306152
1.58	1774196100.3078318
1.597	1774197000.3074167
1.608	1774197900.3080246
1.632	1774198800.30802
1.646	1774199700.3089206
1.666	1774200600.3055232
1.688	1774201500.307718
1.702	1774202400.307498
1.702	1774203300.3057902
1.701	1774204200.306934
1.699	1774205100.3062992
1.676	1774206000.3076298
1.677	1774206900.307332
1.67	1774207800.3081167
1.664	1774208700.3078513
1.646	1774209600.3098056
1.64	1774210500.3068416
1.634	1774211400.304685
1.632	1774212300.3083355
1.627	1774213200.3089077
1.645	1774214100.3096168
1.632	1774215000.308066
1.63	1774215900.3051753
1.646	1774216800.3061564
1.65	1774217700.3075042
1.632	1774218600.3059347
1.615	1774219500.3083143
1.673	1774220400.179501
1.673	1774220400.3026652
1.664	1774221300.3018115
1.658	1774222200.3028948
1.651	1774223100.3028908
1.668	1774224000.3050318
1.659	1774224900.3054988
1.65	1774225800.3031743
1.646	1774226700.3037558
1.646	1774227600.3040862
1.644	1774228500.303846
1.643	1774229400.3051407
1.642	1774230300.3031178
1.632	1774231200.3043091
1.632	1774232100.3038466
1.632	1774233000.3033438
1.627	1774233900.3042362
1.588	1774234800.301758
1.589	1774235700.3030443
1.59	1774236600.301347
1.595	1774237500.3037548
1.637	1774238400.3040078
1.632	1774239300.303466
1.613	1774240200.3047612
1.61	1774241100.3042586
1.632	1774242000.3041658
1.646	1774242900.3034327
1.659	1774243800.3039317
1.678	1774244700.3038914
1.745	1774245600.3055477
1.779	1774246500.3033237
1.744	1774247400.3027484
1.727	1774248300.3039901
1.737	1774249200.3038795
1.668	1774250100.301422
1.653	1774251000.3021388
1.66	1774251900.3035793
1.685	1774252800.303846
1.646	1774253700.3032138
1.616	1774254600.3053136
1.539	1774255500.303712
1.518	1774256400.3010452
1.509	1774257300.3037817
1.498	1774258200.3025587
1.475	1774259100.303803
1.516	1774260000.3033693
1.512	1774260900.303963
1.513	1774261800.3038285
1.512	1774262700.30451
1.566	1774263600.303954
1.566	1774264500.3033266
1.567	1774265400.3021028
1.566	1774266300.302969
1.51	1774267200.3031936
1.52	1774268100.3026595
1.52	1774268475.3813133
1.525	1774269000.3081417
1.492	1774269900.3078272
1.539	1774270800.306121
1.525	1774271700.3075411
1.503	1774272600.308149
1.516	1774273500.3078284
1.48	1774274400.3072667
1.525	1774275300.3053358
1.588	1774276200.3089244
1.631	1774277100.3081172
1.656	1774278000.307296
1.687	1774278900.3056474
1.697	1774279800.3078983
1.707	1774280700.3078616
1.729	1774281600.3095577
1.777	1774282500.3069472
1.824	1774283400.3063776
1.83	1774284300.3078032
1.897	1774285200.3051329
1.897	1774286100.3071868
1.898	1774287000.307279
1.91	1774287900.3053226
1.897	1774288800.3072124
1.897	1774289700.307396
1.896	1774290600.309318
1.887	1774291500.3076735
1.827	1774292400.3082707
1.815	1774293300.3051653
1.788	1774294200.3060849
1.782	1774295100.3083074
1.725	1774296000.3076682
1.721	1774296900.3078873
1.718	1774297800.3074923
1.711	1774298700.3072593
1.699	1774299600.3057966
1.699	1774300500.306614
1.697	1774301400.3069482
1.695	1774302300.308692
1.681	1774303200.3062305
1.679	1774304100.3065934
1.681	1774305000.3054314
1.649	1774305900.307477
1.716	1774306800.1772182
1.716	1774306800.3019235
1.714	1774307700.3028738
1.708	1774308600.302796
1.673	1774309500.3038917
1.655	1774310400.303217
1.627	1774311300.3039975
1.586	1774312200.3040428
1.532	1774313100.3031993
1.524	1774314000.3043754
1.488	1774314900.3040736
1.461	1774315800.3025875
1.417	1774316700.3025692
1.402	1774317600.303406
1.391	1774318500.3036616
1.371	1774319400.303577
1.36	1774320300.302607
1.379	1774321200.3033524
1.363	1774322100.30312
1.372	1774323000.3037415
1.357	1774323900.3012345
1.332	1774324800.3014195
1.321	1774325700.304701
1.367	1774326600.3041072
1.396	1774327500.302764
1.407	1774328400.306077
1.45	1774329300.303672
1.488	1774330200.3039546
1.511	1774331100.3035393
1.635	1774332000.3031836
1.597	1774332900.3027673
1.525	1774333800.3024044
1.488	1774334700.3048432
1.592	1774335600.303633
1.498	1774336500.3046782
1.409	1774337400.3022306
1.411	1774338300.303818
1.429	1774339200.303765
1.404	1774340100.3017492
1.428	1774341000.302854
1.429	1774341900.300755
1.519	1774342800.3046248
1.515	1774343700.3020098
1.54	1774344600.3017077
1.57	1774345500.3034744
1.684	1774346400.3016217
1.683	1774347300.304695
1.682	1774348200.303404
1.683	1774349100.3040714
1.716	1774350000.3020685
1.715	1774350900.3036938
1.714	1774351800.303808
1.712	1774352700.303345
1.538	1774353600.304418
1.526	1774354500.301981
1.526	1774354875.3463993
1.533	1774355400.307363
1.523	1774356300.3069694
1.454	1774357200.3060305
1.457	1774358100.3077412
1.461	1774359000.3077414
1.464	1774359900.3071723
1.397	1774360800.306717
1.397	1774361700.306836
1.397	1774362600.307121
1.401	1774363500.308043
1.405	1774364400.3070085
1.405	1774365300.3050108
1.475	1774366200.3071005
1.523	1774367100.3091817
1.517	1774368000.30811
1.601	1774368900.3074849
1.642	1774369800.3095672
1.7	1774370700.3069913
1.726	1774371600.3081274
1.74	1774372500.3067129
1.767	1774373400.3069167
1.768	1774374300.3079157
1.781	1774375200.3078077
1.756	1774376100.3112948
1.731	1774377000.3080766
1.729	1774377900.3078272
1.686	1774378800.3086436
1.636	1774379700.3090527
1.564	1774380600.3078074
1.508	1774381500.3092647
1.483	1774382400.3086507
1.466	1774383300.307941
1.452	1774384200.306988
1.466	1774385100.3055758
1.398	1774386000.304973
1.388	1774386900.3074167
1.404	1774387800.3052657
1.411	1774388700.3083594
1.411	1774389600.307905
1.434	1774390500.308636
1.441	1774391400.3088133
1.441	1774392300.3072987
1.432	1774393200.1770701
1.432	1774393200.3036368
1.435	1774394100.3037415
1.434	1774395000.303408
1.432	1774395900.303032
1.411	1774396800.3045192
1.411	1774397700.3022153
1.411	1774398600.3054938
1.408	1774399500.3029685
1.388	1774400400.3042111
1.388	1774401300.3053875
1.387	1774402200.3028977
1.388	1774403100.301734
1.387	1774404000.3038604
1.387	1774404900.3036678
1.387	1774405800.3034563
1.386	1774406700.3029716
1.39	1774407600.3033693
1.39	1774408500.3035412
1.39	1774409400.3031101
1.392	1774410300.3031123
1.402	1774411200.301332
1.41	1774412100.3028102
1.411	1774413000.3037584
1.422	1774413900.3025773
1.432	1774414800.3023717
1.445	1774415700.3031752
1.478	1774416600.302148
1.53	1774417500.3026838
1.543	1774418400.3015902
1.549	1774419300.3046577
1.558	1774420200.303492
1.558	1774421100.3040338
1.645	1774422000.303859
1.655	1774422900.3035645
1.642	1774423800.3020523
1.641	1774424700.303933
1.651	1774425600.3037245
1.663	1774426500.3029158
1.663	1774427400.3004575
1.667	1774428300.3031266
1.648	1774429200.3025346
1.645	1774430100.3026996
1.644	1774431000.3029037
1.643	1774431900.304183
1.668	1774432800.3042324
1.668	1774433700.3036854
1.666	1774434600.3020892
1.662	1774435500.3046262
1.657	1774436400.303208
1.654	1774437300.3017452
1.652	1774438200.3038669
1.649	1774439100.3036938
1.621	1774440000.3031178
1.621	1774440900.3038747
1.621	1774441275.2952325
1.621	1774441800.3064058
1.611	1774442700.3061647
1.558	1774443600.3076782
1.558	1774444500.3075209
1.558	1774445400.3081093
1.545	1774446300.3085613
1.621	1774447200.30566
1.595	1774448100.3075716
1.558	1774449000.3074496
1.558	1774449900.3078647
1.558	1774450800.3080068
1.537	1774451700.306879
1.475	1774452600.3075113
1.431	1774453500.3060803
1.432	1774454400.3081303
1.435	1774455300.3072886
1.427	1774456200.3076494
1.454	1774457100.306321
1.466	1774458000.3071132
1.528	1774458900.3083231
1.558	1774459800.3054838
1.577	1774460700.307773
1.588	1774461600.307924
1.608	1774462500.3090253
1.606	1774463400.3079453
1.58	1774464300.3099813
1.617	1774465200.3076036
1.605	1774466100.3057313
1.573	1774467000.3090944
1.543	1774467900.3087852
1.568	1774468800.3083177
1.537	1774469700.3051474
1.53	1774470600.3098207
1.53	1774471500.3086734
1.555	1774472400.3101227
1.55	1774473300.3071194
1.544	1774474200.3056467
1.545	1774475100.3083735
1.475	1774476000.3070781
1.469	1774476900.308084
1.451	1774477800.3089013
1.432	1774478700.3075678
1.422	1774479600.1797588
1.422	1774479600.3035948
1.447	1774480500.3029342
1.426	1774481400.3039806
1.433	1774482300.3027225
1.348	1774483200.3015532
1.312	1774484100.3045676
1.303	1774485000.3031304
1.285	1774485900.3033552
1.274	1774486800.3032656
1.262	1774487700.303675
1.258	1774488600.301405
1.259	1774489500.3031628
1.259	1774490400.304263
1.245	1774491300.3041258
1.249	1774492200.304791
1.243	1774493100.3037002
1.319	1774494000.3037505
1.326	1774494900.302738
1.33	1774495800.3023489
1.324	1774496700.301479
1.329	1774497600.3023677
1.343	1774498500.3012028
1.363	1774499400.301501
1.379	1774500300.3035462
1.415	1774501200.3031762
1.45	1774502100.303289
1.483	1774503000.3041615
1.511	1774503900.301519
1.554	1774504800.3043184
1.566	1774505700.304157
1.561	1774506600.3030326
1.539	1774507500.3041356
1.586	1774508400.3023806
1.57	1774509300.302009
1.554	1774510200.3027816
1.56	1774511100.3035285
1.443	1774512000.3030815
1.439	1774512900.3028545
1.411	1774513800.3039668
1.375	1774514700.3039868
1.373	1774515600.303389
1.372	1774516500.303709
1.369	1774517400.306102
1.36	1774518300.3043122
1.363	1774519200.3032942
1.362	1774520100.3027103
1.364	1774521000.3038418
1.364	1774521900.3035219
1.4	1774522800.3038187
1.405	1774523700.3041387
1.411	1774524600.3050914
1.408	1774525500.3032055
1.419	1774526400.3045347
1.419	1774527300.3040519
1.419	1774527675.3175912
1.419	1774528200.3069081
1.416	1774529100.3055987
1.415	1774530000.3088799
1.411	1774530900.3077424
1.412	1774531800.3076403
1.416	1774532700.307663
1.373	1774533600.3092027
1.373	1774534500.3086593
1.381	1774535400.3067503
1.385	1774536300.307408
1.402	1774537200.308171
1.405	1774538100.30699
1.43	1774539000.3075008
1.436	1774539900.3078623
1.528	1774540800.3061357
1.539	1774541700.3077376
1.552	1774542600.3054729
1.568	1774543500.3077652
1.587	1774544400.30753
1.603	1774545300.3047254
1.601	1774546200.3083231
1.605	1774547100.3080034
1.626	1774548000.3086624
1.635	1774548900.3081324
1.646	1774549800.3087347
1.655	1774550700.3078644
1.617	1774551600.308228
1.62	1774552500.3092391
1.62	1774553400.3088803
1.62	1774554300.308125
1.627	1774555200.3072484
1.628	1774556100.3069413
1.628	1774557000.30798
1.628	1774557900.3058841
1.63	1774558800.3083913
1.624	1774559700.3055677
1.628	1774560600.3088148
1.628	1774561500.3048968
1.589	1774562400.3072205
1.586	1774563300.3088074
1.583	1774564200.30797
1.575	1774565100.3080533
1.57	1774566000.1793342
1.57	1774566000.3032563
1.567	1774566900.3027933
1.558	1774567800.3030899
1.549	1774568700.3028953
1.559	1774569600.3038514
1.547	1774570500.3045375
1.546	1774571400.3037841
1.539	1774572300.3034432
1.546	1774573200.303515
1.535	1774574100.3026958
1.511	1774575000.3044367
1.502	1774575900.3021522
1.518	1774576800.3042972
1.528	1774577700.306217
1.506	1774578600.3038871
1.515	1774579500.302801
1.521	1774580400.303793
1.521	1774581300.3035483
1.533	1774582200.3032992
1.55	1774583100.303421
1.553	1774584000.3022635
1.565	1774584900.3032556
1.574	1774585800.304503
1.584	1774586700.304777
1.627	1774587600.3033264
1.626	1774588500.301712
1.625	1774589400.3027914
1.622	1774590300.3016455
1.674	1774591200.3043156
1.698	1774592100.3053029
1.708	1774593000.3013024
1.709	1774593900.3037355
1.672	1774594800.3028345
1.673	1774595700.3041954
1.628	1774596600.3027565
1.629	1774597500.3035612
1.619	1774598400.3037412
1.594	1774599300.3039913
1.547	1774600200.3046207
1.475	1774601100.3031032
1.533	1774602000.3036346
1.512	1774602900.3028545
1.51	1774603800.3041816
1.484	1774604700.3030531
1.507	1774605600.3034046
1.477	1774606500.303621
1.469	1774607400.302115
1.462	1774608300.3040519
1.421	1774609200.3034782
1.406	1774610100.303543
1.401	1774611000.3015118
1.394	1774611900.3037639
1.349	1774612800.303553
1.344	1774613700.302965
1.344	1774614075.456143
1.34	1774614600.3069663
1.334	1774615500.308134
1.364	1774616400.3056746
1.363	1774617300.3073466
1.363	1774618200.3059208
1.364	1774619100.3072858
1.391	1774620000.3077264
1.363	1774620900.3080363
1.388	1774621800.3053248
1.436	1774622700.3074903
1.408	1774623600.306644
1.421	1774624500.3093379
1.452	1774625400.3052607
1.515	1774626300.3063798
1.547	1774627200.3071117
1.566	1774628100.3076222
1.575	1774629000.308955
1.586	1774629900.3086758
1.623	1774630800.3074205
1.622	1774631700.3061645
1.625	1774632600.3077786
1.624	1774633500.3082666
1.647	1774634400.3056924
1.647	1774635300.307641
1.643	1774636200.3079073
1.644	1774637100.3075237
1.639	1774638000.308984
1.639	1774638900.3088186
1.641	1774639800.307766
1.641	1774640700.3083491
1.613	1774641600.3090634
1.612	1774642500.3079824
1.607	1774643400.3073802
1.602	1774644300.3087435
1.591	1774645200.3053346
1.587	1774646100.3050761
1.586	1774647000.3055587
1.584	1774647900.3059113
1.467	1774648800.3066049
1.466	1774649700.3059163
1.448	1774650600.3080885
1.42	1774651500.304964
1.395	1774652400.178729
1.395	1774652400.3043342
1.385	1774653300.3023436
1.352	1774654200.3034227
1.35	1774655100.304098
1.34	1774656000.3015292
1.332	1774656900.3028157
1.317	1774657800.3033354
1.295	1774658700.3038392
1.297	1774659600.3036416
1.289	1774660500.301957
1.279	1774661400.30465
1.266	1774662300.3031445
