RoundNumber,EnergyConsumptionMeterMeasuredEnergyConsumption
0,0
1,0
2,16.0190888
3,40.172733
4,16.420541399999998
5,40.2394815
6,16.587122400000002
7,40.30476750000001
8,16.7745198
9,40.38715499999999
10,16.987863
11,40.4704785
12,17.1990648
13,40.553334
14,17.4128064
15,40.637496
16,17.625701399999997
17,40.7283465
18,17.971164
19,40.897431000000005
20,18.354325199999998
21,41.018877
22,18.642617400000002
23,41.1367545
24,18.9795144
25,41.2840965
26,19.327965
27,41.405562
28,19.634932199999998
29,41.5268715
