RoundNumber,PricePerEnergyAccumulated
0,0
1,0
2,16.0190888
3,56.1918218
4,72.6123632
5,112.8518447
6,129.4389671
7,169.74373460000004
8,186.51825440000005
9,226.90540940000005
10,243.89327240000006
11,284.36375090000007
12,301.56281570000004
13,342.11614970000005
14,359.5289561000001
15,400.1664521000001
16,417.79215350000004
17,458.5205
18,476.491664
19,517.389095
20,535.7434202
21,576.7622971999999
22,595.4049145999999
23,636.5416690999999
24,655.5211834999999
25,696.8052799999999
26,716.1332449999999
27,757.5388069999999
28,777.1737391999999
29,818.7006106999999
