RoundNumber,RoomHumidity
0,10.2
1,44.4611085027743
2,58.84542204265409
3,36.623306867859725
4,55.5297443544014
5,35.64329324398328
6,54.81443601817623
7,35.54883346262928
8,55.194875481991026
9,34.75960002927831
10,54.87443644553185
11,34.73348096571895
12,54.830467920960984
13,34.80606891984414
14,55.119591865348184
15,35.738202687616074
16,55.20618781302059
17,35.64164650170548
18,55.37678673350826
19,35.07020128220789
20,54.27613130277627
21,35.1360513079851
22,55.03840134441286
23,35.23630488284012
24,54.54485494135706
25,35.019456753095845
26,54.3557756123387
27,34.93462585032364
28,54.49234500049408
29,35.13909506401303
