RoundNumber,EnergyConsumption
0,0
1,24.0295308
2,24.082717499999998
3,24.0894
4,48.12529740000001
5,24.177697799999997
6,24.110694900000002
7,48.1507284
8,24.2345919
9,24.142384800000002
10,48.18086339999999
11,24.289217400000002
12,24.166204200000003
13,48.20182560000001
14,24.3308283
15,24.185687400000003
16,48.2203476
17,24.366230400000003
18,24.2026164
19,48.2366352
20,24.4024683
21,24.2212383
22,48.2551866
23,24.437810700000004
24,24.2390583
25,48.2736204
26,24.477033600000002
27,24.2591949
28,48.2935242
29,24.5160774
