RoundNumber,EnergyConsumptionAccumulated
0,0
1,24.0297897
2,48.0868464
3,72.1509717
4,120.2522787
5,144.3836493
6,168.4717425
7,216.5969517
8,240.77554500000002
9,264.8876655
10,313.0383057
11,337.2683604
12,361.40768610000003
13,409.58284590000005
14,433.86251130000005
15,458.02328040000003
16,506.2194612
17,530.5397823000001
18,554.720985
19,602.9357172
20,627.2903658
21,651.4879629000001
22,699.7197177
23,724.1094699
24,748.3259859
25,796.5758511
26,821.001483
27,845.2353735
28,893.5039665
29,917.9690004
