RoundNumber,HumiditySensorMeasuredRoomHumidity
0,10.2
1,44.434248356158044
2,58.80365250631274
3,36.58406246370628
4,27.057680196356095
5,51.827497701802855
6,33.375983686619634
7,26.224649043407066
8,51.278884492888935
9,32.99383518253159
10,25.720516778444953
11,50.5393526784072
12,33.322034077657726
13,25.356993824727326
14,51.22592858893403
15,33.90940715233886
16,26.112323664555696
17,51.38585020964092
18,33.96596333964977
19,25.547012878056627
20,50.47570174458116
21,33.21317108581621
22,26.026851442567747
23,50.872255501880126
24,33.22807234120691
25,25.381234027658422
26,50.63153917686988
27,32.92008449547764
28,25.561655433222107
29,50.658258202155004
