RoundNumber,PricePerEnergyAccumulated
0,0
1,48.68435393219999
2,88.8836956779
3,127.795386288
4,204.66127487400001
5,242.9336286456
6,278.5599184884
7,349.7371028952
8,385.4972423859
9,421.2796292079
10,499.2836663319
11,541.1532008535
12,582.8659556631001
13,666.1608069573001
14,706.7321278407001
15,746.7182007012001
16,823.4947167156001
17,858.7105416684001
18,893.6040171645001
19,963.1778757291
20,997.3474477149
21,1031.2966764462
22,1097.4706440318
23,1135.9820627556
24,1173.8082607476001
25,1248.0165534252
26,1284.9236832261001
27,1321.2260511951001
28,1393.8702836601
29,1430.5678345101
