RoundNumber,RoomTemperature
0,17.7
1,21.43093647856114
2,23.335622681745065
3,16.52509756351151
4,21.135677615426268
5,22.821596449213875
6,16.861249667875178
7,20.57010210659557
8,22.27013928640529
9,16.64008807804116
10,20.616688632217123
11,22.756841545794558
12,16.534130272500587
13,20.62344579955957
14,22.205803970231244
15,16.488484785702155
16,20.39447679030675
17,22.190613736790507
18,16.172347433630847
19,20.586728497887584
20,22.191716789271
21,16.616635743296506
22,21.06352118269518
23,22.408539038216855
24,16.773219163924253
25,20.76996791747086
26,22.82289703660898
27,17.06208806148597
28,20.814418434556963
29,22.344438910154935
