RoundNumber,Dehumidifier
0,0
1,0
2,1
3,0
4,1
5,0
6,1
7,0
8,1
9,1
10,0
11,1
12,0
13,0
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,0
25,0
26,1
27,1
28,0
29,0
30,1
31,1
32,0
33,0
34,1
35,1
36,0
37,0
38,1
39,1
40,0
41,0
42,1
43,1
44,0
45,0
46,1
47,1
48,0
49,0
50,1
51,1
52,0
53,0
54,1
55,1
56,0
57,0
58,1
59,1
60,0
61,0
62,1
63,1
64,0
65,0
66,1
67,1
68,0
69,0
70,1
71,1
72,0
73,1
74,1
75,0
76,1
77,1
78,0
79,1
80,1
81,0
82,1
83,1
84,0
85,1
86,1
87,0
88,1
89,1
90,0
91,1
92,1
93,0
94,1
95,1
96,0
97,1
98,1
99,0
