RoundNumber,OfficeHumidityLowerLimit
0,30.0
1,30.0
2,30
3,30.0
4,30.0
5,30.0
6,30.0
7,30.0
8,30
9,30
10,30.0
11,30.0
12,30.0
13,30
14,30.0
15,30.0
16,30
17,30
18,30.0
19,30.0
20,30
21,30
22,30.0
23,30
24,30.0
25,30
26,30.0
27,30
28,30.0
29,30
30,30.0
31,30
32,30.0
33,30
34,30.0
35,30
36,30.0
37,30
38,30.0
39,30
40,30.0
41,30
42,30.0
43,30
44,30.0
45,30
46,30.0
47,30
48,30.0
49,30
50,30.0
51,30
52,30.0
53,30
54,30.0
55,30
56,30.0
57,30
58,30.0
59,30
60,30.0
61,30
62,30.0
63,30
64,30.0
65,30
66,30.0
67,30
68,30.0
69,30
70,30.0
71,30
72,30.0
73,30.0
74,30
75,30.0
76,30.0
77,30
78,30.0
79,30.0
80,30
81,30.0
82,30.0
83,30
84,30.0
85,30.0
86,30
87,30.0
88,30.0
89,30
90,30.0
91,30.0
92,30
93,30.0
94,30.0
95,30
96,30.0
97,30.0
98,30
99,30.0
