RoundNumber,OfficeHumidityUpperLimit
0,50.0
1,50.0
2,50
3,50.0
4,50.0
5,50.0
6,50.0
7,50.0
8,50.0
9,50
10,50
11,50.0
12,50.0
13,50
14,50.0
15,50.0
16,50.0
17,50.0
18,50
19,50.0
20,50.0
21,50
22,50.0
23,50.0
24,50
25,50.0
26,50.0
27,50
28,50.0
29,50.0
30,50
31,50.0
32,50.0
33,50
34,50.0
35,50.0
36,50
37,50.0
38,50.0
39,50
40,50.0
41,50.0
42,50
43,50.0
44,50.0
45,50
46,50.0
47,50.0
48,50
49,50.0
50,50.0
51,50
52,50.0
53,50.0
54,50
55,50.0
56,50.0
57,50
58,50.0
59,50.0
60,50
61,50.0
62,50.0
63,50
64,50.0
65,50.0
66,50
67,50.0
68,50
69,50.0
70,50.0
71,50
72,50.0
73,50
74,50.0
75,50.0
76,50.0
77,50.0
78,50.0
79,50.0
80,50.0
81,50.0
82,50.0
83,50.0
84,50.0
85,50.0
86,50.0
87,50.0
88,50.0
89,50.0
90,50.0
91,50.0
92,50.0
93,50.0
94,50.0
95,50.0
96,50.0
97,50.0
98,50.0
99,50.0
