RoundNumber,Matching_Case_Found
0,False
1,False
2,False
3,False
4,False
5,False
6,False
7,False
8,False
9,False
10,True
11,False
12,False
13,True
14,False
15,False
16,False
17,False
18,True
19,False
20,False
21,True
22,False
23,False
24,True
25,False
26,False
27,True
28,False
29,False
30,True
31,False
32,False
33,True
34,False
35,False
36,True
37,False
38,False
39,True
40,False
41,False
42,True
43,False
44,False
45,True
46,False
47,False
48,True
49,False
50,False
51,True
52,False
53,False
54,True
55,False
56,False
57,True
58,False
59,False
60,True
61,False
62,False
63,True
64,False
65,False
66,True
67,False
68,True
69,False
70,False
71,True
72,False
73,True
74,False
75,False
76,False
77,False
78,False
79,False
80,False
81,False
82,False
83,False
84,False
85,False
86,False
87,False
88,False
89,False
90,False
91,False
92,False
93,False
94,False
95,False
96,False
97,False
98,False
99,False
