RoundNumber,Price
0,0
0,0
1,2.026
2,1.671
3,1.617
4,1.598
5,1.586
6,1.479
7,1.479
8,1.479
9,1.484
10,1.62
11,1.728
12,1.728
13,1.729
14,1.671
15,1.655
16,1.593
17,1.448
18,1.443
19,1.443
20,1.403
21,1.403
22,1.372
23,1.579
24,1.562
25,1.538
26,1.511
27,1.498
28,1.505
29,1.5
30,1.472
31,1.461
32,1.46
33,1.458
34,1.512
35,1.532
36,1.52
37,1.535
38,1.597
39,1.598
40,1.598
41,1.597
42,1.611
43,1.598
44,1.595
45,1.597
46,1.644
47,1.614
48,1.598
49,1.585
50,1.6
51,1.51
52,1.428
53,1.392
54,1.418
55,1.407
56,1.394
57,1.392
58,1.413
59,1.416
60,1.424
61,1.427
62,1.446
63,1.448
64,1.448
65,1.449
66,1.446
67,1.449
68,1.451
69,1.454
70,1.455
71,1.455
72,1.456
73,1.454
74,1.502
75,1.501
76,1.501
77,1.495
78,1.462
79,1.427
80,1.417
81,1.413
82,1.414
83,1.414
84,1.415
85,1.455
86,1.513
87,1.477
88,1.632
89,1.632
90,1.656
91,1.567
92,1.58
93,1.597
94,1.608
95,1.632
96,1.646
97,1.666
98,1.688
99,1.702
