RoundNumber,OfficeTemperatureLowerLimit
0,18.0
1,18.0
2,18
3,18.0
4,18.0
5,18.0
6,18.0
7,18.0
8,18
9,18
10,18.0
11,18.0
12,18.0
13,18
14,18.0
15,18.0
16,18
17,18
18,18.0
19,18.0
20,18
21,18
22,18.0
23,18
24,18.0
25,18
26,18.0
27,18
28,18.0
29,18
30,18.0
31,18
32,18.0
33,18
34,18.0
35,18
36,18.0
37,18
38,18.0
39,18
40,18.0
41,18
42,18.0
43,18
44,18.0
45,18
46,18.0
47,18
48,18.0
49,18
50,18.0
51,18
52,18.0
53,18
54,18.0
55,18
56,18.0
57,18
58,18.0
59,18
60,18.0
61,18
62,18.0
63,18.0
64,18
65,18.0
66,18
67,18.0
68,18
69,18.0
70,18
71,18.0
72,18.0
73,18
74,18.0
75,18.0
76,18
77,18.0
78,18.0
79,18
80,18.0
81,18.0
82,18
83,18.0
84,18.0
85,18
86,18.0
87,18.0
88,18
89,18.0
90,18.0
91,18
92,18.0
93,18.0
94,18
95,18.0
96,18.0
97,18
98,18.0
99,18.0
100,18
101,18.0
102,18.0
103,18
104,18.0
105,18.0
106,18
107,18.0
108,18.0
109,18
110,18.0
111,18.0
112,18
113,18.0
114,18.0
115,18
116,18.0
117,18.0
118,18
119,18.0
120,18.0
121,18
122,18.0
123,18.0
124,18
125,18.0
126,18
127,18.0
128,18.0
129,18.0
130,18
131,18.0
132,18.0
133,18.0
134,18
135,18.0
136,18.0
137,18.0
138,18
139,18.0
140,18.0
141,18.0
142,18
143,18.0
144,18
145,18.0
146,18.0
147,18.0
148,18
149,18.0
150,18
151,18.0
152,18.0
153,18.0
154,18
155,18.0
156,18.0
157,18
158,18.0
159,18.0
160,18
161,18
162,18.0
163,18
164,18.0
165,18
166,18.0
167,18
168,18.0
169,18
170,18.0
171,18
172,18.0
173,18
174,18.0
175,18
176,18.0
177,18
178,18.0
179,18
180,18.0
181,18
182,18.0
183,18
184,18.0
185,18
186,18.0
187,18
188,18.0
189,18
190,18.0
191,18
192,18.0
193,18
194,18.0
195,18
196,18.0
197,18
198,18.0
199,18
200,18.0
201,18.0
202,18
203,18
204,18.0
205,18
206,18.0
207,18
208,18.0
209,18
210,18.0
211,18.0
212,18
213,18
214,18.0
215,18
216,18.0
217,18
218,18.0
219,18
220,18.0
221,18
222,18.0
223,18
224,18.0
225,18
226,18.0
227,18
228,18.0
229,18
230,18.0
231,18
232,18.0
233,18
234,18.0
235,18
236,18.0
237,18
238,18.0
239,18
240,18.0
241,18
242,18.0
243,18
244,18
245,18
246,18
247,18.0
248,18.0
249,18
