RoundNumber,OfficeTemperatureUpperLimit
0,22.0
1,22.0
2,22
3,22.0
4,22.0
5,22.0
6,22.0
7,22.0
8,22
9,22
10,22.0
11,22.0
12,22.0
13,22
14,22.0
15,22.0
16,22
17,22
18,22.0
19,22.0
20,22
21,22
22,22.0
23,22
24,22.0
25,22
26,22.0
27,22
28,22.0
29,22
30,22.0
31,22
32,22.0
33,22
34,22.0
35,22
36,22.0
37,22
38,22.0
39,22
40,22.0
41,22
42,22.0
43,22
44,22.0
45,22
46,22.0
47,22
48,22.0
49,22
50,22.0
51,22
52,22.0
53,22
54,22.0
55,22
56,22.0
57,22
58,22.0
59,22
60,22.0
61,22
62,22.0
63,22.0
64,22
65,22.0
66,22
67,22.0
68,22
69,22.0
70,22
71,22.0
72,22.0
73,22
74,22.0
75,22.0
76,22
77,22.0
78,22.0
79,22
80,22.0
81,22.0
82,22
83,22.0
84,22.0
85,22
86,22.0
87,22.0
88,22
89,22.0
90,22.0
91,22
92,22.0
93,22.0
94,22
95,22.0
96,22.0
97,22
98,22.0
99,22.0
100,22
101,22.0
102,22.0
103,22
104,22.0
105,22.0
106,22
107,22.0
108,22.0
109,22
110,22.0
111,22.0
112,22
113,22.0
114,22.0
115,22
116,22.0
117,22.0
118,22
119,22.0
120,22.0
121,22
122,22.0
123,22.0
124,22
125,22.0
126,22
127,22.0
128,22.0
129,22.0
130,22
131,22.0
132,22.0
133,22.0
134,22
135,22.0
136,22.0
137,22.0
138,22
139,22.0
140,22.0
141,22.0
142,22
143,22.0
144,22
145,22.0
146,22.0
147,22.0
148,22
149,22.0
150,22
151,22.0
152,22.0
153,22.0
154,22
155,22.0
156,22.0
157,22
158,22.0
159,22.0
160,22
161,22
162,22.0
163,22
164,22.0
165,22
166,22.0
167,22
168,22.0
169,22
170,22.0
171,22
172,22.0
173,22
174,22.0
175,22
176,22.0
177,22
178,22.0
179,22
180,22.0
181,22
182,22.0
183,22
184,22.0
185,22
186,22.0
187,22
188,22.0
189,22
190,22.0
191,22
192,22.0
193,22
194,22.0
195,22
196,22.0
197,22
198,22.0
199,22
200,22.0
201,22.0
202,22
203,22
204,22.0
205,22
206,22.0
207,22
208,22.0
209,22
210,22.0
211,22.0
212,22
213,22
214,22.0
215,22
216,22.0
217,22
218,22.0
219,22
220,22.0
221,22
222,22.0
223,22
224,22.0
225,22
226,22.0
227,22
228,22.0
229,22
230,22.0
231,22
232,22.0
233,22
234,22.0
235,22
236,22.0
237,22
238,22.0
239,22
240,22.0
241,22
242,22.0
243,22
244,22
245,22
246,22
247,22.0
248,22.0
249,22
