RoundNumber,PricePerEnergyAccumulated
0,0
1,32.454367577599996
2,59.503627273999996
3,124.614792239
4,151.2937033022
5,215.3128764032
6,275.7530426012
7,300.84634701799996
8,360.7044919595
9,386.2618256915
10,412.9985801195
11,483.12144392749997
12,554.6829921515
13,626.31274157
14,655.6320601136
15,683.1665043056
16,709.6793506604
17,768.6271721924
18,794.3487204968001
19,818.5176080162
20,842.0249226824001
21,899.2968551309001
22,956.9508093209001
23,985.5854333555002
24,1011.9404467391001
25,1037.9032161863001
26,1099.7760778433
27,1163.2132155653
28,1226.9708512028
29,1290.5437687028
30,1352.9629262708
31,1414.9445641298
32,1441.9989744098
33,1501.9003379768
34,1530.3500111336
35,1556.612080916
36,1582.686771044
37,1609.031846183
38,1636.4587296128
39,1702.3748441468
40,1771.2771077227999
41,1840.1857397258
42,1909.7510862848
43,1978.8054610838
44,2009.6811444278
45,2037.4001389604
46,2065.949458922
47,2093.9945514644
48,2121.7757057192002
49,2187.4758141317
50,2257.2831621317
51,2323.2040596167
52,2385.5794294846996
53,2413.1927701246996
54,2438.0727255850998
55,2462.7751665412998
56,2487.2624794516996
57,2511.7341735316995
58,2536.5913354984996
59,2561.5175901737
60,2586.6015318760997
61,2611.7520224422997
62,2637.2534447687
63,2662.8094626214997
64,2688.3783821542997
65,2713.9824321124997
66,2739.5494762324997
67,2765.1862617088996
68,2790.8761589590995
69,2816.6353794094994
70,2842.4298894574995
71,2868.2416560964994
72,2894.091227626099
73,2919.920405832499
74,2946.618534236899
75,2973.3185620966988
76,3000.040939246099
77,3026.6826357820987
78,3052.7587470208987
79,3078.2325267202987
80,3103.5470404252987
81,3128.8112176072987
82,3154.1103528952985
83,3179.4324178900983
84,3204.7910503150983
85,3230.8948249780983
86,3258.0629786128984
87,3284.608972000098
88,3313.963838905698
89,3340.108478905698
90,3366.6375989056983
91,3391.7409389056984
92,3417.0525389056984
93,3442.6364789056984
94,3468.396638905698
95,3494.541278905698
96,3520.910198905698
97,3547.599518905698
98,3574.641278905698
99,3601.907318905698
100,3629.173358905698
101,3656.423378905698
102,3683.641358905698
103,3710.490878905698
104,3737.356418905698
105,3764.109818905698
106,3790.767098905698
107,3817.1360189056977
108,3843.408818905698
109,3869.585498905698
110,3895.730138905698
111,3921.7946789056978
112,3948.1475789056976
113,3974.2922189056976
114,4000.4048189056975
115,4026.7737389056974
116,4053.2067389056974
117,4079.3513789056974
118,4105.223678905698
119,4132.0251389056975
120,4158.826598905697
121,4185.483878905698
122,4212.045038905698
123,4238.494058905698
124,4265.215418905697
125,4291.792598905698
126,4318.225598905698
127,4344.594518905697
128,4370.963438905697
129,4397.300318905697
130,4423.621178905697
131,4449.926018905697
132,4476.070658905697
133,4502.215298905698
134,4528.359938905698
135,4554.424478905698
136,4579.864238905699
137,4605.320018905699
138,4630.791818905699
139,4656.3437189056995
140,4682.568458905699
141,4708.7130989057
142,4734.5533589056995
143,4760.345558905699
144,4786.4901989057
145,4812.8591189057
146,4839.4362989057
147,4866.3178589057
148,4894.272758905699
149,4922.772338905699
150,4950.711218905699
151,4978.377758905699
152,5006.204498905699
153,5032.925858905699
154,5059.406918905699
155,5086.000118905699
156,5112.993818905699
157,5139.362738905699
158,5165.251058905699
159,5189.905838905699
160,5214.224198905699
161,5238.398378905699
162,5262.396338905699
163,5286.025838905699
164,5310.312158905699
165,5334.534398905699
166,5358.772658905699
167,5382.994898905699
168,5408.082218905699
169,5433.169538905699
170,5458.272878905698
171,5483.360198905698
172,5507.550398905698
173,5531.900798905698
174,5556.251198905698
175,5580.681698905699
176,5604.583538905699
177,5629.238318905699
178,5653.6688189056995
179,5677.746878905699
180,5702.0331989056995
181,5725.7427989057
182,5750.1732989057
183,5775.6130589057
184,5801.741678905701
185,5828.270798905701
186,5855.296538905701
187,5882.482478905701
188,5909.828618905701
189,5937.527198905701
190,5965.994738905701
191,5995.215218905701
192,6024.531818905701
193,6054.921758905701
194,6085.311698905701
195,6115.717658905701
196,6146.315858905701
197,6176.705798905701
198,6207.095738905701
199,6237.469658905701
200,6267.699398905701
201,6296.967938905701
202,6326.044238905701
203,6354.687998905701
204,6383.2356389057
205,6410.8701389057005
206,6438.4405589057005
207,6465.9629189057005
208,6493.3731389057
209,6520.591118905701
210,6547.809098905701
211,6574.995038905701
212,6602.1489389057015
213,6629.078558905701
214,6655.976138905701
215,6682.905758905701
216,6709.322738905701
217,6736.813058905701
218,6764.303378905701
219,6791.761658905701
220,6819.1238189057
221,6845.9252789057
222,6872.4383789057
223,6898.5029189057
224,6923.910638905701
225,6948.4532789057
226,6972.867758905701
227,6996.705518905701
228,7020.110738905701
229,7042.811078905701
230,7065.271118905701
231,7087.5549389057005
232,7109.518358905701
233,7131.3055589057
234,7153.397138905701
235,7175.2323989057
236,7197.2118389057005
237,7218.9509789057
238,7240.2896189057
239,7261.4520389057
240,7283.3513789057
241,7305.7152989056995
242,7328.2554389056995
243,7351.4844389057
244,7375.3221989057
245,7399.5284189057
246,7425.7211189057
247,7451.3050589057
248,7475.735558905701
249,7499.573318905701
