RoundNumber,EnergyConsumption
0,0
1,16.018689199999997
2,16.236532799999996
3,40.349812500000006
4,16.987813199999998
5,40.512696
6,17.408125200000004
7,40.671699000000004
8,17.818377599999998
9,40.8330615
10,18.2206122
11,40.99071899999999
12,18.642268799999997
13,41.1584385
14,19.0664154
15,41.3258655
16,19.488321
17,41.493507
18,19.9094796
19,41.653056
20,20.325708
21,41.818611000000004
22,20.7419862
23,41.9915565
24,19.0211481
25,37.047564300000005
26,19.0236861
27,37.0449741
28,19.0263351
29,37.0423845
