RoundNumber,TemperatureSensor2MeasuredRoomTemperature
0,17.7
1,18.57523135240341
2,19.25781055135759
3,18.75991833626156
4,19.25086736575831
5,19.157672578711423
6,19.2731744166278
7,18.75995674712836
8,18.640486611147367
9,19.070498730728183
10,18.817476117487434
11,19.130775794388086
12,18.96060490803143
13,18.825448043305563
14,18.579554057951814
15,18.922440311177045
16,18.601885674000037
17,18.570426117140943
18,18.610291010463232
19,18.80383442325974
20,18.572048218572103
21,19.056138262773974
22,19.273051491778894
23,18.773467464899817
24,19.201928008287734
25,18.971723318487538
26,19.191580920379742
27,19.479878526756444
28,19.002799994276803
29,18.70557216569683
