RoundNumber,OfficeTemperatureLowerLimit
0,18.0
1,18
2,18
3,18
4,18
5,18.0
6,18
7,18.0
8,18
9,18
10,18
11,18.0
12,18
13,18.0
14,18
15,18
16,18
17,18.0
18,18
19,18.0
20,18
21,18
22,18
23,18.0
24,18
25,18.0
26,18
27,18
28,18
29,18.0
30,18
31,18
32,18
33,18.0
34,18
35,18
36,18
37,18.0
38,18
39,18.0
40,18
41,18
42,18
43,18.0
44,18
45,18.0
46,18
47,18
48,18
49,18.0
50,18
51,18.0
52,18
53,18
54,18
55,18.0
56,18
57,18
58,18
59,18.0
60,18
61,18
62,18
63,18
64,18.0
65,18
66,18.0
67,18
68,18
69,18
70,18.0
71,18
72,18.0
73,18
74,18
75,18
76,18.0
77,18
78,18.0
79,18
80,18
81,18
82,18.0
83,18
84,18.0
85,18
86,18
87,18
88,18.0
89,18
90,18.0
91,18
92,18
93,18
94,18.0
95,18
96,18.0
97,18
98,18
99,18
100,18.0
101,18
102,18
103,18
104,18.0
105,18
106,18
107,18
108,18.0
109,18
110,18.0
111,18
112,18
113,18
114,18.0
115,18
116,18.0
117,18
118,18
119,18
120,18.0
121,18
122,18.0
123,18
124,18
125,18
126,18.0
127,18
128,18.0
129,18
130,18
131,18
132,18.0
133,18
134,18.0
135,18
136,18
137,18
138,18.0
139,18
140,18.0
141,18
142,18
143,18
144,18.0
145,18
146,18.0
147,18
148,18
149,18
150,18.0
151,18
152,18.0
153,18
154,18
155,18
156,18.0
157,18
158,18
159,18
160,18
161,18
162,18.0
163,18
164,18
165,18
166,18.0
167,18
168,18
169,18
170,18.0
171,18
172,18.0
173,18
174,18
175,18
176,18.0
177,18
178,18
179,18
180,18
181,18
182,18.0
183,18
184,18
185,18
186,18
187,18.0
188,18
189,18.0
190,18
191,18
192,18
193,18.0
194,18
195,18
196,18
197,18
198,18.0
199,18
200,18.0
201,18
202,18
203,18
204,18.0
205,18
206,18.0
207,18
208,18
209,18
210,18.0
211,18
212,18
213,18
214,18
215,18
216,18.0
217,18
218,18
219,18
220,18
221,18.0
222,18
223,18.0
224,18
225,18
226,18
227,18.0
228,18
229,18
230,18
231,18
232,18.0
233,18
234,18.0
235,18
236,18
237,18
238,18.0
239,18
240,18.0
241,18
242,18
243,18
244,18.0
245,18
246,18.0
247,18
248,18
249,18
250,18.0
251,18
252,18
253,18
254,18
255,18.0
256,18
257,18.0
258,18
259,18
260,18
261,18.0
262,18
263,18.0
264,18
265,18
266,18
267,18.0
268,18
269,18.0
270,18
271,18
272,18
273,18.0
274,18
275,18.0
276,18
277,18
278,18
279,18.0
280,18
281,18.0
282,18
283,18
284,18
285,18.0
286,18
287,18
288,18
