RoundNumber,EnergyConsumptionAccumulated
0,0
1,16.0193328
2,32.1543708
3,48.2942796
4,64.4782434
5,80.665494
6,100.89933049999999
7,121.19024449999999
8,129.5198609
9,137.6583233
10,145.7983103
11,153.9403664
12,162.0843332
13,170.2304879
14,178.3782365
15,186.5278859
16,194.6791292
17,202.8318971
18,210.9862589
19,219.1421354
20,227.3001305
21,235.4601155
22,243.6217538
23,251.78505529999998
24,259.95009919999995
25,268.1166479
26,276.2847905
27,284.45468539999996
28,292.62632269999995
29,300.79987069999993
30,308.97536899999994
31,317.1527482999999
32,325.3321174999999
33,333.51393199999995
34,341.69787499999995
35,349.88384749999994
36,358.0718494999999
37,366.2623363999999
38,374.4552784999999
39,382.65061639999993
40,390.8479540999999
41,399.04785589999994
42,407.24977729999995
43,415.45365889999994
44,423.65941159999994
45,431.8676689999999
46,440.0780449999999
47,448.2901336999999
48,456.5043409999999
49,464.7213103999999
50,472.9406458999999
51,481.1622088999999
52,489.3864250999999
53,497.6132251999999
54,505.84219339999987
55,514.0732900999999
56,522.3068419999998
57,530.5427500999998
58,538.7813113999998
59,547.0221595999998
60,555.2658391999997
61,563.5119343999997
62,571.7604748999997
63,580.0117180999997
64,588.2654362999997
65,596.5216690999997
66,604.7803570999997
67,613.0419457999997
68,621.3059500999997
69,629.5723501999997
70,637.8420073999997
71,646.1143177999998
72,654.3890536999997
73,662.6662051999997
74,670.9460890999997
75,679.2283687999997
76,687.5135194999997
77,695.8017193999997
78,704.0923249999997
79,712.3861876999997
80,720.6831490999997
81,728.9829616999997
82,737.2852294999997
83,745.5901801999996
84,753.8977840999996
85,762.2080510999996
86,770.5209019999995
87,778.8373168999996
88,787.1574145999996
89,795.4806109999996
90,803.8072624999996
91,812.1366760999996
92,820.4693665999996
93,828.8054923999996
94,837.1444000999996
95,845.4862183999996
96,853.8316501999997
97,862.1801905999997
98,870.5317306999997
99,878.8870822999996
