RoundNumber,Cycle_Duration_(ms)
0,4895
1,3792
2,548
3,4762
4,579
5,5481
6,607
7,627
8,655
9,653
10,617
11,717
12,759
13,808
14,680
15,1376
16,766
17,615
18,715
19,684
20,548
21,691
22,541
23,608
24,528
25,584
26,813
27,761
28,473
29,734
30,725
31,672
32,648
33,744
34,608
35,596
36,606
37,670
38,611
39,642
40,615
41,803
42,673
43,823
44,585
45,570
46,805
47,860
48,790
49,891
50,537
51,827
52,707
53,712
54,659
55,759
56,674
57,973
58,573
59,666
60,552
61,762
62,765
63,772
64,785
65,813
66,672
67,733
68,695
69,698
70,865
71,710
72,754
73,771
74,815
75,994
76,884
77,877
78,729
79,1054
80,600
81,767
82,778
83,816
84,953
85,675
86,751
87,582
88,829
89,872
90,744
91,976
92,538
93,1063
94,812
95,915
96,825
97,965
98,859
99,752
