RoundNumber,Cycle_Duration_(ms)
0,3938
1,541
2,3852
3,373
4,413
5,352
6,295
7,297
8,341
9,355
10,362
11,305
12,430
13,296
14,442
15,339
16,339
17,445
18,576
19,312
20,306
21,313
22,389
23,355
24,405
25,453
26,360
27,286
28,392
29,309
30,348
31,443
32,427
33,280
34,478
35,349
36,564
37,408
38,490
39,326
40,361
41,486
42,327
43,354
44,440
45,516
46,518
47,342
48,473
49,333
50,404
51,408
52,365
53,419
54,499
55,327
56,434
57,304
58,400
59,305
60,406
61,402
62,374
63,351
64,440
65,346
66,461
67,460
68,542
69,433
70,401
71,469
72,406
73,435
74,508
75,435
76,460
77,302
78,490
79,392
80,528
81,436
82,584
83,411
84,588
85,537
86,647
87,382
88,447
89,441
90,498
91,436
92,562
93,510
94,571
95,432
96,600
97,608
98,643
99,529
