RoundNumber,Matching_Case_Found
0,False
1,False
2,False
3,False
4,False
5,False
6,False
7,False
8,False
9,True
10,False
11,True
12,False
13,True
14,True
15,False
16,True
17,True
18,True
19,False
20,True
21,False
22,True
23,False
24,True
25,False
26,True
27,False
28,True
29,False
30,True
31,False
32,True
33,False
34,True
35,False
36,True
37,False
38,True
39,False
40,True
41,False
42,True
43,False
44,True
45,False
46,True
47,False
48,True
49,False
50,True
51,False
52,True
53,True
54,False
55,True
56,True
57,False
58,True
59,False
60,True
61,False
62,True
63,False
64,True
65,False
66,True
67,False
68,True
69,True
70,True
71,False
72,True
73,False
74,True
75,False
76,True
77,False
78,True
79,False
80,True
81,False
82,True
83,False
84,True
85,False
86,True
87,True
88,False
89,True
90,False
91,True
92,False
93,True
94,False
95,True
96,False
97,True
98,False
99,True
