RoundNumber,PricePerEnergy
0,0
1,40.56124277549999
2,14.798546442000001
3,26.4500335176
4,65.08710729
5,35.7367809175
6,49.757538509999996
7,34.312081945500005
8,50.82393596400001
9,31.9451839812
10,49.468281525
11,37.205726630399994
12,52.7592214368
13,37.23399330105
14,51.01123902975
15,35.648338548
16,46.25817446565
17,33.3452507688
18,41.8969788822
19,33.235629102
20,40.730163224849996
21,32.31978151485
22,39.82494741120001
23,36.38002949565001
24,43.014659028000004
25,37.725074466
26,41.6045752551
27,36.7495944459
28,41.4337933485
29,36.80418217500001
