RoundNumber,EnergyConsumptionAccumulated
0,0
1,20.02324025
2,28.430868350000004
3,44.610588750000005
4,84.98395725
5,106.30265625
6,114.96697845
7,155.26936495
8,177.10193170000002
9,186.02401870000003
10,226.42490120000002
11,248.76795270000002
12,282.2028465
13,304.93529850000004
14,338.97316290000003
15,362.7061224
16,373.04706120000003
17,413.98939620000004
18,436.51594620000003
19,467.05317180000003
20,488.5826769
21,519.11639055
22,540.6494193
23,571.17954015
24,592.71620445
25,623.2426962
26,646.26824805
27,675.30581175
28,698.33511405
29,727.3688784
