RoundNumber,PricePerEnergyAccumulated
0,0
1,35.478160218999996
2,53.89610394025
3,110.5210883755
4,152.09044436710002
5,164.7943043671
6,176.6410943671
7,210.70978290280001
8,227.00904627475
9,278.98385549815
10,321.12218709415
11,342.75644806375
12,364.39070903335
13,383.44224310765
14,411.8764129828
15,459.92304691404996
16,499.01231731524996
17,528.00851731525
18,556.9045923152499
19,572.80940368315
20,596.67964779235
21,637.4068659799
22,673.1147790402999
23,704.7342540402999
24,736.0133040402999
25,752.9657532408999
26,778.6740582653499
27,822.1595679749499
28,861.3287163359499
29,884.6023783859499
