RoundNumber,Dehumidifier
0,0
1,0
2,1
3,0
4,0
5,1
6,1
7,0
8,1
9,1
10,1
11,0
12,0
13,1
14,0
15,0
16,0
17,1
18,1
19,0
20,1
21,0
22,0
23,1
24,1
25,0
26,1
27,0
28,0
29,1
30,0
31,1
32,1
33,0
34,1
35,0
36,0
37,1
38,1
39,0
40,1
41,0
42,0
43,1
44,1
45,0
46,1
47,0
48,0
49,1
50,1
51,0
52,1
53,0
54,0
55,1
56,0
57,1
58,1
59,0
60,1
61,1
62,1
63,1
64,0
65,0
66,1
67,0
68,0
69,0
70,1
71,1
72,0
73,1
74,0
75,0
76,1
77,1
78,0
79,1
80,0
81,0
82,1
83,1
84,0
85,1
86,0
87,0
88,1
89,1
90,0
91,1
92,0
93,0
94,1
95,1
96,0
97,1
98,0
99,0
100,1
101,0
102,1
103,1
104,0
105,1
106,0
107,0
108,1
109,1
110,0
111,1
112,0
113,0
114,1
115,1
116,0
117,1
118,0
119,0
120,1
121,1
122,0
123,1
124,1
125,1
126,0
127,0
128,1
129,0
130,0
131,0
132,1
133,1
134,0
135,1
136,1
137,1
138,0
139,0
140,1
141,0
142,1
143,1
144,0
145,0
146,1
147,0
148,1
149,1
150,0
151,0
152,1
153,0
154,1
155,1
156,0
157,1
158,1
159,1
160,1
161,1
162,0
163,1
164,0
165,0
166,1
167,0
168,1
169,1
170,0
171,0
172,1
173,0
174,1
175,1
176,0
177,1
178,1
179,1
180,1
181,1
182,0
183,1
184,0
185,1
186,1
187,0
188,0
189,1
190,0
191,1
192,1
193,0
194,1
195,1
196,1
197,1
198,0
199,0
200,1
201,0
202,0
203,0
204,1
205,1
206,0
207,1
208,0
209,0
210,1
211,0
212,0
213,0
214,0
215,0
216,1
217,0
218,1
219,0
220,0
221,1
222,1
223,0
224,1
225,0
226,0
227,1
228,0
229,0
230,0
231,0
232,1
233,1
234,0
235,1
236,1
237,1
238,0
239,0
240,1
241,0
242,0
243,0
244,1
245,1
246,0
247,1
248,0
249,0
250,1
251,0
252,0
253,0
254,0
255,1
256,1
257,0
258,1
259,1
260,1
261,0
262,0
263,1
264,0
265,0
266,0
267,1
268,1
269,0
270,1
271,1
272,1
273,0
274,0
275,1
276,0
277,1
278,1
279,0
280,0
281,1
282,0
283,1
284,1
285,0
286,1
287,1
288,1
289,1
290,0
291,0
292,1
293,0
294,0
295,0
296,1
297,1
298,0
299,1
300,0
301,0
302,1
303,1
304,0
305,1
306,0
307,0
308,1
309,0
310,0
311,0
312,0
313,1
314,1
315,0
316,1
317,0
318,0
319,1
320,1
321,0
322,1
323,0
324,0
325,1
326,1
327,0
328,1
329,0
330,0
331,1
332,0
333,0
334,0
335,0
336,1
337,1
338,0
339,1
340,0
341,0
342,1
343,1
344,0
345,1
346,0
347,0
348,1
349,1
350,0
351,1
352,0
353,0
354,1
355,0
356,0
357,0
358,0
359,1
360,1
361,0
362,1
363,0
364,0
365,1
366,0
367,0
368,0
369,0
370,1
371,1
372,0
373,1
374,0
375,0
376,1
377,0
378,0
379,0
380,0
381,1
382,1
383,0
384,1
385,1
386,1
387,0
388,0
389,1
390,0
391,1
392,1
393,0
394,0
395,1
396,0
397,1
398,1
399,0
400,0
401,1
402,0
403,1
404,1
405,0
406,0
407,1
408,0
409,1
410,1
411,0
412,0
413,1
414,0
415,1
416,1
417,0
418,0
419,1
420,0
421,1
422,1
423,0
424,1
425,1
426,1
427,1
428,1
429,0
430,1
431,0
432,0
433,1
434,0
435,1
436,1
437,0
438,0
439,1
440,0
441,1
442,1
443,0
444,0
445,1
446,0
447,1
448,1
449,0
450,0
451,1
452,0
453,1
454,1
455,0
456,0
457,1
458,0
459,1
460,1
461,0
462,1
463,0
464,0
465,1
466,0
467,1
468,1
469,0
470,0
471,1
472,0
473,1
474,1
475,0
476,1
477,0
478,0
479,1
480,0
481,1
482,1
483,0
484,1
485,0
486,0
487,1
488,0
489,0
490,0
491,0
492,1
493,1
494,0
495,1
496,1
497,1
498,0
499,0
500,1
501,0
502,1
503,1
504,0
505,0
506,1
507,0
508,1
509,1
510,0
511,0
512,1
513,0
514,1
515,1
516,0
517,0
518,1
519,0
520,1
521,1
522,0
523,0
524,1
525,0
526,1
527,1
528,0
529,0
530,1
531,0
532,1
533,1
534,0
535,0
536,1
537,0
538,1
539,1
540,0
541,0
542,1
543,0
544,1
545,1
546,0
547,0
548,1
549,0
550,1
551,1
552,0
553,1
554,1
555,1
556,1
557,0
558,0
559,1
560,0
561,0
562,0
563,1
564,1
565,0
566,1
567,0
568,0
569,1
570,1
571,0
572,1
573,0
574,0
575,1
576,1
577,0
578,1
579,0
580,0
581,1
582,1
583,0
584,1
585,0
586,0
587,1
588,1
589,0
590,1
591,0
592,0
593,1
594,0
595,0
596,0
597,0
598,1
599,1
600,0
601,1
602,0
603,0
604,1
605,1
606,0
607,1
608,0
609,0
610,1
611,1
612,0
613,1
614,0
615,0
616,1
617,1
618,0
619,1
620,0
621,0
622,1
623,0
624,0
625,0
626,0
627,1
628,1
629,0
630,1
631,1
632,1
633,0
634,0
635,1
636,0
637,0
638,0
639,1
640,1
641,0
642,1
643,0
644,0
645,1
646,0
647,0
648,0
649,0
650,0
651,1
652,0
653,1
654,0
655,0
656,1
657,1
658,0
659,1
660,0
661,0
662,1
663,1
664,0
665,1
666,0
667,0
668,1
669,0
670,0
671,0
672,0
