RoundNumber,EnergyConsumptionMeterMeasuredEnergyConsumption
0,0
1,16.0187572
2,32.1548248
3,72.3095788
4,88.59391719999999
5,104.62211439999999
6,144.78203589999998
7,184.85341989999998
8,201.14587569999998
9,241.28499069999998
10,281.3534047
11,321.4191457
12,337.6862035
13,353.7126583
14,393.85664829999996
15,410.07211329999996
16,426.0962911
17,442.1208451
18,482.2404406
19,522.3059836
20,538.5221956
21,578.6500786
22,594.8520478
23,610.8765820000001
24,650.9968210000001
25,691.0624135
26,707.2678687
27,747.3838957
28,763.5941317
29,779.6195965000001
30,819.7488445
31,835.9507639
32,876.0810064
33,916.1467474
34,932.359324
35,972.490951
36,988.7262364
37,1004.7532258
38,1044.8834293
39,1084.9483288
40,1101.1632459999998
41,1141.2960624999998
42,1157.5477320999998
43,1173.5770578999998
44,1213.7491473999999
45,1253.8400838999999
46,1270.1405574999999
47,1310.323762
48,1326.5894752
49,1342.6180287999998
50,1382.7562272999999
51,1422.8304328
52,1439.070997
53,1479.2172295
54,1495.4779129
55,1511.5100107
56,1551.6734227000002
57,1567.9339567000002
58,1608.0853957000002
59,1648.1604427000002
60,1664.4569821000002
61,1704.6194191000002
62,1744.6964461000002
63,1784.7754036000001
64,1824.8547076000002
65,1841.1453706000002
66,1857.1806562000002
67,1897.3407727000001
68,1913.6182885
69,1929.6493567
70,1945.6814545
71,1985.833615
72,2025.9146515
73,2042.2041691
74,2082.3581821
75,2098.6285267
76,2114.6644063
77,2154.8291833
78,2194.9113088
79,2211.1993324
80,2251.3551589
81,2267.6462701
82,2283.6862087
83,2323.8456817
84,2363.9298862
85,2380.205161
86,2420.356483
87,2436.6444070000002
88,2452.6792570000002
89,2492.8376380000004
90,2532.9305545
91,2549.2133989000004
92,2589.3689719000004
93,2605.6745749
94,2621.7138601
95,2661.8770186
96,2701.9694401
97,2718.2808199
98,2758.4397859
99,2774.7381679
100,2790.7767799
101,2830.9386514
102,2847.2452006
103,2887.4162176
104,2927.5168066
105,2943.864142
106,2984.0421985
107,3000.4178700999996
108,3016.4610559
109,3056.6472829
110,3096.7456939
111,3113.0990551
112,3153.2791981
113,3169.6502881
114,3185.7071161000003
115,3225.9205651
116,3266.0517451
117,3282.4806529
118,3322.6709749
119,3339.0692557
120,3355.1168569
121,3395.3191909
122,3435.4490839
123,3451.8330223
124,3492.0291552999997
125,3532.1385057999996
126,3572.2559248
127,3588.6291063999997
128,3604.6779748
129,3644.8767988
130,3661.2631774
131,3677.3197084000003
132,3693.3753682
133,3733.5784627000003
134,3773.6897932
135,3782.0498916
136,3822.1624491000002
137,3862.2703146000003
138,3902.3835261000004
139,3918.7511301000004
140,3934.8033843000003
141,3974.9988543000004
142,3991.4342361000004
143,4031.6642601000003
144,4071.8166261
145,4088.3584305
146,4104.4404441
147,4144.6992891
148,4161.1461747
149,4201.3563867
150,4241.5015752
151,4249.9681103
152,4258.0000883
153,4298.1349898
154,4314.5592662
155,4354.7582657
156,4394.8905842
157,4411.2623714
158,4451.4583484
159,4491.582400400001
160,4531.7265494
161,4571.852036900001
162,4611.9745049
163,4628.3936519
164,4668.6139453999995
165,4685.043052399999
166,4701.105364999999
167,4741.308518
168,4749.723706
169,4789.8470935
170,4830.0389605
171,4846.5974977
172,4862.6561274999995
173,4902.859923999999
174,4919.3516296
175,4959.6236176
176,4999.7743996
177,5016.1759174
178,5056.3688329
179,5096.5142194
180,5136.6463399
181,5176.7874694
182,5216.9282524
183,5233.3608454000005
184,5273.5538974
185,5289.9331048
186,5330.1403723
187,5370.278086300001
188,5386.692651700001
189,5402.747341300001
190,5442.9391063
191,5459.3353453
192,5499.5487748
193,5539.6945078
194,5556.1209256
195,5596.3297531
196,5636.4899401
197,5676.6457711
198,5716.806651100001
199,5733.2753989
200,5749.343790100001
201,5789.5891606000005
202,5806.074790600001
203,5822.143973800001
204,5838.2229382000005
205,5878.495355200001
206,5918.669946700001
207,5935.122559300001
208,5975.359447300001
209,5991.884070700001
210,6007.9630351000005
211,6048.469218100001
212,6065.412061900001
213,6081.486729700001
214,6097.562031100001
215,6113.620363900001
216,6129.694021900002
217,6169.910083900002
218,6186.389239900002
219,6226.6080709000025
220,6243.177066100003
221,6259.235715700002
222,6299.430054700002
223,6339.574451200002
224,6355.946338000002
225,6396.140072500001
226,6412.555434700002
227,6428.614618900002
228,6468.821418400002
229,6485.240914000002
230,6501.303147400002
231,6517.364311600002
232,6533.427416200002
233,6573.665786200002
234,6613.8292402000025
235,6630.339172600003
236,6670.557301600003
237,6710.715904600002
238,6750.887773600002
239,6767.356969600002
240,6783.4172824000025
241,6823.627513900003
242,6840.054529300002
243,6856.128721900002
244,6872.202241300002
245,6912.420194800002
246,6952.595231800002
247,6969.035992000002
248,7009.2504745000015
249,7025.729630500002
250,7041.797823700002
251,7082.018936200002
252,7098.475333600002
253,7114.5559612000025
254,7130.658289600003
255,7146.7287202000025
