RoundNumber,Matching_Case_Found
0,False
1,False
2,False
3,False
4,True
5,False
6,True
7,False
8,False
9,True
10,True
11,False
12,True
13,False
14,False
15,True
16,True
17,False
18,True
19,False
20,False
21,False
22,True
23,False
24,True
25,False
26,False
27,False
28,True
29,False
30,False
31,False
32,True
33,False
34,False
35,False
36,True
37,False
38,True
39,False
40,False
41,False
42,True
43,False
44,True
45,False
46,False
47,False
48,True
49,False
50,True
51,False
52,False
53,False
54,True
55,False
56,False
57,False
58,True
59,False
60,False
61,True
62,True
63,True
64,False
65,True
66,False
67,False
68,True
69,True
70,False
71,True
72,False
73,False
74,False
75,True
76,False
77,True
78,False
79,False
80,False
81,True
82,False
83,True
84,False
85,False
86,False
87,True
88,False
89,True
90,False
91,False
92,False
93,True
94,False
95,True
96,False
97,False
98,False
99,True
100,False
101,False
102,False
103,True
104,False
105,False
106,False
107,True
108,False
109,True
110,False
111,False
112,False
113,True
114,False
115,True
116,False
117,False
118,False
119,True
120,False
121,True
122,False
123,False
124,True
125,True
126,False
127,True
128,False
129,False
130,True
131,True
132,False
133,True
134,False
135,False
136,True
137,True
138,False
139,True
140,False
141,False
142,False
143,True
144,False
145,True
146,False
147,False
148,False
149,True
150,False
151,True
152,False
153,False
154,False
155,True
156,False
157,False
158,True
159,True
160,True
161,True
162,False
163,False
164,False
165,True
166,False
167,False
168,False
169,True
170,False
171,True
172,False
173,False
174,False
175,True
176,False
177,False
178,True
179,True
180,True
181,True
182,False
183,False
184,False
185,False
186,True
187,False
188,True
189,False
190,False
191,False
192,True
193,False
194,False
195,True
196,True
197,True
198,False
199,True
200,False
201,False
202,True
203,True
204,False
205,True
206,False
207,False
208,False
209,True
210,False
211,False
212,True
213,True
214,True
215,True
216,False
217,False
218,False
219,False
220,True
221,False
222,True
223,False
224,False
225,False
226,True
227,False
228,False
229,True
230,True
231,True
232,False
233,True
234,False
235,False
236,True
237,True
238,False
239,True
240,False
241,False
242,True
243,True
244,False
245,True
246,False
247,False
248,False
249,True
250,False
251,False
252,True
253,True
254,True
255,False
256,True
257,False
258,False
259,True
260,True
261,False
262,True
263,False
264,False
265,True
266,True
267,False
268,True
269,False
270,False
271,True
272,True
273,False
274,True
275,False
276,False
277,False
278,True
279,False
280,True
281,False
282,False
283,False
284,True
285,False
286,False
287,True
288,True
289,True
290,False
291,True
292,False
293,False
294,True
295,True
296,False
297,True
298,False
299,False
300,False
301,True
302,False
303,True
304,False
305,False
306,False
307,True
308,False
309,False
310,True
311,True
312,True
313,False
314,True
315,False
316,False
317,False
318,True
319,False
320,True
321,False
322,False
323,False
324,True
325,False
326,True
327,False
328,False
329,False
330,True
331,False
332,False
333,True
334,True
335,True
336,False
337,True
338,False
339,False
340,False
341,True
342,False
343,True
344,False
345,False
346,False
347,True
348,False
349,True
350,False
351,False
352,False
353,True
354,False
355,False
356,True
357,True
358,True
359,False
360,True
361,False
362,False
363,False
364,True
365,False
366,False
367,True
368,True
369,True
370,False
371,True
372,False
373,False
374,False
375,True
376,False
377,False
378,True
379,True
380,True
381,False
382,True
383,False
384,False
385,True
386,True
387,False
388,True
389,False
390,False
391,False
392,True
393,False
394,True
395,False
396,False
397,False
398,True
399,False
400,True
401,False
402,False
403,False
404,True
405,False
406,True
407,False
408,False
409,False
410,True
411,False
412,True
413,False
414,False
415,False
416,True
417,False
418,True
419,False
420,False
421,False
422,True
423,False
424,False
425,True
426,True
427,True
428,True
429,False
430,False
431,False
432,True
433,False
434,False
435,False
436,True
437,False
438,True
439,False
440,False
441,False
442,True
443,False
444,True
445,False
446,False
447,False
448,True
449,False
450,True
451,False
452,False
453,False
454,True
455,False
456,True
457,False
458,False
459,False
460,True
461,False
462,False
463,False
464,True
465,False
466,False
467,False
468,True
469,False
470,True
471,False
472,False
473,False
474,True
475,False
476,False
477,False
478,True
479,False
480,False
481,False
482,True
483,False
484,False
485,False
486,True
487,False
488,False
489,True
490,True
491,True
492,False
493,True
494,False
495,False
496,True
497,True
498,False
499,True
500,False
501,False
502,False
503,True
504,False
505,True
506,False
507,False
508,False
509,True
510,False
511,True
512,False
513,False
514,False
515,True
516,False
517,True
518,False
519,False
520,False
521,True
522,False
523,True
524,False
525,False
526,False
527,True
528,False
529,True
530,False
531,False
532,False
533,True
534,False
535,True
536,False
537,False
538,False
539,True
540,False
541,True
542,False
543,False
544,False
545,True
546,False
547,True
548,False
549,False
550,False
551,True
552,False
553,False
554,True
555,True
556,True
557,False
558,True
559,False
560,False
561,True
562,True
563,False
564,True
565,False
566,False
567,False
568,True
569,False
570,True
571,False
572,False
573,False
574,True
575,False
576,True
577,False
578,False
579,False
580,True
581,False
582,True
583,False
584,False
585,False
586,True
587,False
588,True
589,False
590,False
591,False
592,True
593,False
594,False
595,True
596,True
597,True
598,False
599,True
