RoundNumber,EnergyConsumptionMeterMeasuredEnergyConsumption
0,0
1,16.0194394
2,0.08762
3,44.05155975
4,0.42547999999999997
5,44.049720549999996
6,0.615395
7,44.04781975
8,0.8088299999999999
9,44.04544595
10,1.0773949999999999
11,44.042790000000004
12,1.3342450000000001
13,44.0403051
14,1.57564
15,44.03782735
16,1.8278149999999997
17,44.03532485
18,2.07856
19,44.03296975
20,2.31077
21,44.03044085
22,2.581095
23,44.0278322
24,2.836515
25,44.025244449999995
26,3.07912
27,44.0230175
28,3.297305
29,44.020834550000004
