RoundNumber,PricePerEnergyAccumulated
0,0
1,0
2,0
3,0
4,70.350381563
5,75.700197463
6,75.700197463
7,140.7825017005
8,148.9251134239
9,148.9251134239
10,148.9251134239
11,215.4719503519
12,234.4809169087
13,234.4809169087
14,234.4809169087
15,289.1135830407
16,315.40126784595003
17,315.40126784595003
18,355.11168686565003
19,378.99517726785
20,378.99517726785
21,378.99517726785
22,409.18440890965
23,452.64313803830004
24,452.64313803830004
25,452.64313803830004
26,469.329686276
27,518.8227755601
28,518.8227755601
29,527.1534498351
