RoundNumber,EnergyConsumptionAccumulated
0,0
1,0
2,20.019482
3,20.801282
4,64.83882775000001
5,66.93438275000001
6,110.96816045000001
7,113.44833045000001
8,157.47832525
9,160.31946025000002
10,160.31946025000002
11,204.3247991
12,209.68003910000002
13,253.68112095
14,259.18398645
15,259.18398645
16,297.7153106
17,303.259095
18,303.259095
19,336.29945399999997
20,347.3266779
21,347.3266779
22,380.33309145
23,396.84228635
24,396.84228635
25,424.3662999
26,440.90950845
27,440.90950845
28,462.95291555
29,484.9793865
